Rank,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population
36,Afghanistan,Kabul,Asia,41128771,38972230,33753499
138,Albania,Tirana,Europe,2842321,2866849,2882481
34,Algeria,Algiers,Africa,44903225,43451666,39543154
213,American Samoa,Pago Pago,Oceania,44273,46189,51368
203,Andorra,Andorra la Vella,Europe,79824,77700,71746
42,Angola,Luanda,Africa,35588987,33428485,28127721
224,Anguilla,The Valley,North America,15857,15585,14525
201,Antigua and Barbuda,Saint John’s,North America,93763,92664,89941
33,Argentina,Buenos Aires,South America,45510318,45036032,43257065
140,Armenia,Yerevan,Asia,2780469,2805608,2878595
198,Aruba,Oranjestad,North America,106445,106585,104257
55,Australia,Canberra,Oceania,26177413,25670051,23820236
99,Austria,Vienna,Europe,8939617,8907777,8642421
91,Azerbaijan,Baku,Asia,10358074,10284951,9863480
176,Bahamas,Nassau,North America,409984,406471,392697
154,Bahrain,Manama,Asia,1472233,1477469,1362142
8,Bangladesh,Dhaka,Asia,171186372,167420951,157830000
186,Barbados,Bridgetown,North America,281635,280693,278083
96,Belarus,Minsk,Europe,9534954,9633740,9700609
81,Belgium,Brussels,Europe,11655930,11561717,11248303
177,Belize,Belmopan,North America,405272,394921,359871
77,Benin,Porto-Novo,Africa,13352864,12643123,10932783
206,Bermuda,Hamilton,North America,64184,64031,63144
165,Bhutan,Thimphu,Asia,782455,772506,743274
80,Bolivia,Sucre,South America,12224110,11936162,11090085
137,Bosnia and Herzegovina,Sarajevo,Europe,3233526,3318407,3524324
144,Botswana,Gaborone,Africa,2630296,2546402,2305171
7,Brazil,Brasilia,South America,215313498,213196304,205188205
221,British Virgin Islands,Road Town,North America,31305,30910,29366
175,Brunei,Bandar Seri Begawan,Asia,449002,441725,421437
108,Bulgaria,Sofia,Europe,6781953,6979175,7309253
58,Burkina Faso,Ouagadougou,Africa,22673762,21522626,18718019
78,Burundi,Bujumbura,Africa,12889576,12220227,10727148
73,Cambodia,Phnom Penh,Asia,16767842,16396860,15417523
53,Cameroon,Yaounde,Africa,27914536,26491087,23012646
39,Canada,Ottawa,North America,38454327,37888705,35732126
171,Cape Verde,Praia,Africa,593149,582640,552166
205,Cayman Islands,George Town,North America,68706,67311,60911
117,Central African Republic,Bangui,Africa,5579144,5343020,4819333
69,Chad,N'Djamena,Africa,17723315,16644701,14140274
65,Chile,Santiago,South America,19603733,19300315,17870124
1,China,Beijing,Asia,1425887337,1424929781,1393715448
28,Colombia,Bogota,South America,51874024,50930662,47119728
163,Comoros,Moroni,Africa,836774,806166,730216
223,Cook Islands,Avarua,Oceania,17011,17029,17695
124,Costa Rica,San José,North America,5180829,5123105,4895242
130,Croatia,Zagreb,Europe,4030358,4096868,4254815
85,Cuba,Havana,North America,11212191,11300698,11339894
189,Curacao,Willemstad,North America,191163,189288,169572
158,Cyprus,Nicosia,Europe,1251488,1237537,1187280
88,Czech Republic,Prague,Europe,10493986,10530953,10523798
115,Denmark,Copenhagen,Europe,5882261,5825641,5677796
160,Djibouti,Djibouti,Africa,1120849,1090156,1006259
204,Dominica,Roseau,North America,72737,71995,70007
84,Dominican Republic,Santo Domingo,North America,11228821,10999664,10405832
15,DR Congo,Kinshasa,Africa,99010212,92853164,78656904
67,Ecuador,Quito,South America,18001000,17588595,16195902
14,Egypt,Cairo,Africa,110990103,107465134,97723799
112,El Salvador,San Salvador,North America,6336392,6292731,6231066
152,Equatorial Guinea,Malabo,Africa,1674908,1596049,1346973
132,Eritrea,Asmara,Africa,3684032,3555868,3340006
156,Estonia,Tallinn,Europe,1326062,1329444,1314657
159,Eswatini,Mbabane,Africa,1201670,1180655,1133936
12,Ethiopia,Addis Ababa,Africa,123379924,117190911,102471895
231,Falkland Islands,Stanley,South America,3780,3747,3408
209,Faroe Islands,Tórshavn,Europe,53090,52415,48816
162,Fiji,Suva,Oceania,929766,920422,917200
118,Finland,Helsinki,Europe,5540745,5529468,5479461
23,France,Paris,Europe,64626628,64480053,63809769
184,French Guiana,Cayenne,South America,304557,290969,257026
183,French Polynesia,Papeete,Oceania,306279,301920,291787
146,Gabon,Libreville,Africa,2388992,2292573,2028517
142,Gambia,Banjul,Africa,2705992,2573995,2253133
131,Georgia,Tbilisi,Asia,3744385,3765912,3771132
19,Germany,Berlin,Europe,83369843,83328988,82073226
47,Ghana,Accra,Africa,33475870,32180401,28870939
219,Gibraltar,Gibraltar,Europe,32649,32709,32520
90,Greece,Athens,Europe,10384971,10512232,10806641
208,Greenland,Nuuk,North America,56466,56026,55895
193,Grenada,Saint George's,North America,125438,123663,118980
178,Guadeloupe,Basse-Terre,North America,395752,395642,399089
191,Guam,Hagåtña,Oceania,171774,169231,167978
68,Guatemala,Guatemala City,North America,17843908,17362718,16001107
207,Guernsey,Saint Peter Port,Europe,63301,62794,61629
75,Guinea,Conakry,Africa,13859341,13205153,11625998
149,Guinea-Bissau,Bissau,Africa,2105566,2015828,1788919
164,Guyana,Georgetown,South America,808726,797202,755031
82,Haiti,Port-au-Prince,North America,11584996,11306801,10563757
89,Honduras,Tegucigalpa,North America,10432860,10121763,9294505
104,Hong Kong,Hong Kong,Asia,7488865,7500958,7399838
94,Hungary,Budapest,Europe,9967308,9750573,9844246
179,Iceland,Reykjavík,Europe,372899,366669,331060
2,India,New Delhi,Asia,1417173173,1396387127,1322866505
4,Indonesia,Jakarta,Asia,275501339,271857970,259091970
17,Iran,Tehran,Asia,88550570,87290193,81790841
35,Iraq,Baghdad,Asia,44496122,42556984,37757813
125,Ireland,Dublin,Europe,5023109,4946119,4665760
202,Isle of Man,Douglas,Europe,84519,84046,83593
98,Israel,Jerusalem,Asia,9038309,8757489,8007778
25,Italy,Rome,Europe,59037474,59500579,60232906
52,Ivory Coast,Yamoussoukro,Africa,28160542,26811790,23596741
139,Jamaica,Kingston,North America,2827377,2820436,2794445
